geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
A3GALT2,0.188173131,0.154776646,0,0.114316592,0,0,0,0,0.125873898,0,0.062936949,0.166681602,0.149473231,0.254573304,0.190242712,0,-16.80268791,1.595846697
A4GALT,1.695049421,1.858955197,0.974196189,1.509400269,1.114138125,1.228159948,0.916388667,1.086228913,1.020476357,1.101436989,1.060956673,0.700679163,0.628340363,0.802612017,0.710543847,1.950582939,-0.474646894,-0.578369485
A4GNT,0,0,0,0,0,0,0,0,0,0.07063045,0.035315225,0,0,0,0,0,0,-15.10804352
ABO,0.03027223,0,0,0.010090743,0,0.018278297,0,0.006092766,23.55061248,20.24123866,21.89592557,18.09998637,17.50578582,20.43620324,18.68065848,0,-0.727769479,-0.229117115
ACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE,3.843118447,3.747833683,3.415780611,3.668910914,2.614636379,2.459415378,2.488253586,2.520768448,0.076968917,0.044860679,0.060914798,0.020384373,0.054839611,0.077832782,0.051018922,4.692263965,-0.541488094,-0.255755735
ACER1,0,0,0,0,0,0,0,0,0,0.086565071,0.043282535,0,0,0,0,0,0,-15.40153072
ACER2,0.860147956,0.990487544,0.838250834,0.896295445,1.292265574,1.24645247,1.162546987,1.23375501,24.33837631,24.7602018,24.54928905,16.53342965,14.55320267,16.98952614,16.02538615,1.299135738,0.461009234,-0.615322093
ACER3,10.10163384,10.80334389,11.55558861,10.82018878,15.35202547,12.65303551,15.70252297,14.56919465,10.72312315,11.26104724,10.9920852,16.48193173,16.80899255,16.87448281,16.72180236,10.57814911,0.429195427,0.605265221
ACHE,0,0.083709495,0,0.027903165,0,0,0,0,0.748854866,0.859701219,0.804278042,0.090148178,0.040420596,0.103262684,0.07794382,0,-14.76819285,-3.367171082
AGA,13.88886532,14.08750995,12.13806492,13.37148006,9.460108638,10.99312833,9.920806576,10.12468118,9.098071266,9.071695816,9.084883541,9.497860403,8.174313833,9.492253364,9.0548092,12.18884187,-0.401282649,-0.004783779
AGL,15.26953336,14.09897061,15.10837762,14.8256272,15.28086038,9.453988772,14.52974216,13.0881971,13.93954177,15.06852167,14.50403172,17.1849641,15.79150836,16.87504976,16.61717407,14.38022983,-0.179826746,0.196221059
AGRN,314.8944581,309.9027264,313.137052,312.6447455,173.5307979,141.1894183,171.2753957,161.9985373,292.9201451,283.1597138,288.0399294,226.7989522,221.9755428,248.4092719,232.394589,195.8618691,-0.948543479,-0.30969234
ALDOB,0,0,0,0,0,0,0,0,0.032724015,0,0.016362007,0,0,0,0,0,0,-13.99815031
ALDOC,0.854683902,0.811150148,0.9857111,0.883848383,1.419870179,1.190898492,1.466167096,1.358978589,35.27074333,35.92819997,35.59947165,29.17628238,30.4986651,35.97791123,31.88428624,0.567421113,0.620651342,-0.159010239
ALG1,28.58132048,29.52508149,30.7126189,29.60634029,34.38049428,37.45044881,32.80083043,34.87725784,17.87437004,19.09403394,18.48420199,24.38072626,22.63608429,20.53455476,22.51712177,23.35387155,0.236380441,0.284729654
ALG10,5.701787341,5.33921242,5.984068154,5.675022639,7.207162966,3.38976001,5.690838345,5.429253774,5.633093559,6.498001421,6.06554749,7.692418604,7.281481686,6.734708039,7.236202776,6.955659767,-0.063872216,0.254594926
ALG10B,2.202606844,2.240415271,2.230983894,2.22466867,2.27345735,1.543123182,2.715632183,2.177404238,2.845537297,3.026375061,2.935956179,3.202094942,2.791372445,3.503012265,3.165493217,3.337619655,-0.0309812,0.108599833
ALG11,3.78110555,4.167153402,3.560577339,3.836278764,3.935173742,2.541689655,4.455878932,3.644247443,1.856466445,2.154368831,2.005417638,1.798371109,1.612705523,1.91510065,1.775392428,2.873506164,-0.074086617,-0.175764674
ALG12,28.49736097,30.4538818,28.96951493,29.30691923,30.54263646,29.74227804,29.22747428,29.83746293,17.64255619,16.41322284,17.02788951,15.80851933,15.57692671,17.32944717,16.23829774,24.37768373,0.025883549,-0.068499228
ALG13,13.14217415,11.67992811,12.33703879,12.38638035,11.87671448,10.6465278,10.93078131,11.1513412,6.416432733,5.957956237,6.187194485,8.100933506,6.92843476,8.031044658,7.686804308,12.63101019,-0.151537403,0.313098511
ALG14,3.996701186,3.764046562,3.610324232,3.790357327,5.141393889,4.971188358,4.996671119,5.036417789,2.031857958,1.986737121,2.009297539,2.336553185,2.57153542,2.581845818,2.496644808,2.824205614,0.410064009,0.313299231
ALG1L,0.228352447,1.126950241,1.027103951,0.794135546,1.072097552,1.103029114,0.617266941,0.930797869,32.6886899,32.05064046,32.36966518,25.28399749,21.22253915,22.08853739,22.86502467,0.985414602,0.229082367,-0.501499949
ALG1L2,0.128419688,0.105628091,0.096269583,0.110105788,0,0,0,0,0,0,0,0,0,0,0,0.138543114,-16.74854388,0
ALG2,20.90860224,22.1872815,23.12412814,22.07333729,23.75334016,22.05401883,23.85473928,23.22069942,42.39059877,46.21030947,44.30045412,51.61759872,51.3121108,52.46983652,51.79984868,20.12014777,0.073106656,0.225626391
ALG3,54.57162026,56.95360567,57.15667443,56.22730012,93.61305747,91.20027171,80.29165666,88.36832861,50.40726368,49.36295696,49.88511032,78.61226924,77.07355875,73.60262455,76.42948418,57.31477417,0.652258614,0.615520019
ALG5,32.99016333,31.82607129,33.54472817,32.7869876,38.22726541,40.42150485,38.65908527,39.10261851,28.93487514,30.3309173,29.63289622,27.59021151,28.78408873,29.97182938,28.78204321,33.22439412,0.254141858,-0.042030625
ALG6,7.950828341,7.720921466,7.036858109,7.569535972,7.69592821,6.534860461,6.485514581,6.905434417,4.82649447,4.415354132,4.620924301,5.119181412,5.898318134,5.591441373,5.53631364,6.80161989,-0.132472668,0.260744169
ALG8,40.86740558,43.02822181,42.10381489,41.99981409,48.43915836,49.25014596,46.4064616,48.03192197,32.52836349,35.58871327,34.05853838,39.21653605,44.87994455,44.56287962,42.8864534,40.23423812,0.193610592,0.332505482
